Temps (s);Vitesse angulaire (rad/s)
2,4333375;9,264457
2,441671;9,262033
2,4500043;9,25961
2,4583378;9,257188
2,4666712;9,254766
2,4750047;9,252345
2,483338;9,249925
2,4916716;9,247505
2,500005;9,245086
2,5083385;9,242667
2,516672;9,24025
2,5250053;9,237832
2,5333388;9,235415
2,5416722;9,233
2,5500057;9,230584
2,558339;9,228169
2,5666726;9,225756
2,575006;9,223342
2,5833395;9,220929
2,591673;9,218517
2,6000063;9,216105
2,6083398;9,213695
2,6166732;9,211285
2,6250067;9,208875
2,6333401;9,206466
2,6416736;9,204058
2,650007;9,20165
2,6583405;9,199243
2,666674;9,1968355
2,6750073;9,194429
2,6833408;9,192024
2,6916742;9,189619
2,7000077;9,187215
2,7083411;9,184812
2,7166746;9,182408
2,725008;9,180006
2,7333415;9,177605
2,741675;9,175203
2,7500083;9,172803
2,7583418;9,1704035
2,7666752;9,168004
2,7750087;9,165606
2,7833421;9,163208
2,7916756;9,16081
2,800009;9,158414
2,8083425;9,156018
2,816676;9,153623
2,8250093;9,151228
2,8333428;9,148834
2,8416762;9,1464405
2,8500097;9,144048
2,8583431;9,141656
2,8666766;9,139264
2,87501;9,136873
2,8833435;9,134483
2,891677;9,132093
2,9000103;9,129704
2,9083438;9,127316
2,9166772;9,124928
2,9250107;9,122541
2,9333441;9,120155
2,9416776;9,117769
2,950011;9,115384
2,9583445;9,112999
2,966678;9,110615
2,9750113;9,108232
2,9833448;9,105848
2,9916782;9,103466
3,0000117;9,101085
3,0083451;9,098703
3,0166786;9,096323
3,025012;9,093944
3,0333455;9,091564
3,041679;9,089186
3,0500124;9,086808
3,0583458;9,084431
3,0666792;9,082054
3,0750127;9,079679
3,0833461;9,077303
3,0916796;9,074928
3,100013;9,072555
3,1083465;9,070181
3,11668;9,067808
3,1250134;9,065436
3,1333468;9,063065
3,1416802;9,060694
3,1500137;9,058323
3,1583471;9,055953
3,1666806;9,053584
3,175014;9,051215
3,1833475;9,048847
3,191681;9,04648
3,2000144;9,044113
3,2083478;9,041747
3,2166812;9,039382
3,2250147;9,037017
3,2333481;9,034653
3,2416816;9,0322895
3,250015;9,029926
3,2583485;9,027564
3,266682;9,025203
3,2750154;9,022841
3,2833488;9,020481
3,2916822;9,018122
3,3000157;9,015762
3,3083491;9,013404
3,3166826;9,011045
3,325016;9,008688
3,3333495;9,006331
3,341683;9,003975
3,3500164;9,001619
3,3583498;8,999265
3,3666832;8,99691
3,3750167;8,994556
3,3833501;8,992204
3,3916836;8,989851
3,400017;8,987499
3,4083505;8,985148
3,416684;8,982798
3,4250174;8,980448
3,4333508;8,978099
3,4416842;8,97575
3,4500177;8,973402
3,4583511;8,971054
3,4666846;8,968707
3,475018;8,966361
3,4833515;8,964015
3,491685;8,96167
3,5000184;8,959326
3,5083518;8,956982
3,5166852;8,9546385
3,5250187;8,952296
3,5333521;8,949954
3,5416856;8,947613
3,550019;8,945272
3,5583525;8,942932
3,566686;8,940593
3,5750194;8,938253
3,5833528;8,935915
3,5916862;8,933578
3,6000197;8,93124
3,6083531;8,928904
3,6166866;8,926568
3,62502;8,9242325
3,6333535;8,921898
3,641687;8,919564
3,6500204;8,917231
3,6583538;8,914898
3,6666873;8,912565
3,6750207;8,9102335
3,6833541;8,907903
3,6916876;8,905572
3,700021;8,903242
3,7083545;8,900913
3,716688;8,898584
3,7250214;8,896256
3,7333548;8,8939295
3,7416883;8,8916025
3,7500217;8,8892765
3,7583551;8,886951
3,7666886;8,884626
3,775022;8,882302
3,7833555;8,879978
3,791689;8,877655
3,8000224;8,875333
3,8083558;8,873011
3,8166893;8,870689
3,8250227;8,868369
3,8333561;8,866049
3,8416896;8,8637295
3,850023;8,861411
3,8583565;8,859093
3,86669;8,856775
3,8750234;8,854458
3,8833568;8,852141
3,8916903;8,849826
3,9000237;8,84751
3,9083571;8,845196
3,9166906;8,842882
3,925024;8,840569
3,9333575;8,838256
3,941691;8,835944
3,9500244;8,833632
3,9583578;8,831322
3,9666913;8,829011
3,9750247;8,826701
3,9833581;8,824392
3,9916916;8,822083
4,000025;8,819776
4,008358;8,817469
4,016691;8,815162
4,0250244;8,812856
4,0333576;8,81055
4,041691;8,808245
4,050024;8,805941
4,0583572;8,803637
4,0666904;8,801333
4,0750237;8,799031
4,083357;8,796729
4,09169;8,794428
4,1000233;8,792128
4,1083565;8,789827
4,1166897;8,787528
4,125023;8,785229
4,133356;8,78293
4,1416893;8,780633
4,1500225;8,778336
4,1583557;8,776039
4,166689;8,773744
4,175022;8,771448
4,1833553;8,769154
4,1916885;8,766859
4,2000217;8,764565
4,208355;8,762273
4,216688;8,75998
4,2250214;8,7576885
4,2333546;8,755398
4,241688;8,753107
4,250021;8,750817
4,258354;8,748528
4,2666874;8,746239
4,2750206;8,743951
4,283354;8,741663
4,291687;8,739376
4,30002;8,73709
4,3083534;8,734804
4,3166866;8,732519
4,32502;8,730235
4,333353;8,727951
4,3416862;8,725668
4,3500195;8,723385
4,3583527;8,721103
4,366686;8,718822
4,375019;8,71654
4,3833523;8,71426
4,3916855;8,711981
4,4000187;8,709702
4,408352;8,707423
4,416685;8,705145
4,4250183;8,7028675
4,4333515;8,700591
4,4416847;8,698315
4,450018;8,696039
4,458351;8,693765
4,4666843;8,69149
4,4750175;8,689217
4,4833508;8,686943
4,491684;8,68467
4,500017;8,682399
4,5083504;8,680127
4,5166836;8,677856
4,525017;8,675587
4,53335;8,673317
4,541683;8,671048
4,5500164;8,668779
4,5583496;8,666512
4,566683;8,664245
4,575016;8,661978
4,583349;8,659712
4,5916824;8,657446
4,6000156;8,655181
4,608349;8,652917
4,616682;8,650653
4,6250153;8,64839
4,6333485;8,646128
4,6416817;8,643866
4,650015;8,641604
4,658348;8,639343
4,6666813;8,637083
4,6750145;8,634824
4,6833477;8,632565
4,691681;8,630306
4,700014;8,628049
4,7083473;8,625792
4,7166805;8,623535
4,7250137;8,621279
4,733347;8,619023
4,74168;8,616769
4,7500134;8,614514
4,7583466;8,612261
4,76668;8,610008
4,775013;8,607756
4,783346;8,605504
4,7916794;8,603252
4,8000126;8,601002
4,808346;8,598752
4,816679;8,596502
4,825012;8,594254
